wave,n
2.6029,2.1601271
2.6055,2.1601112
2.6081,2.1600953
2.6107,2.1600794
2.6134,2.16006351
2.616,2.16004762
2.6186,2.16003172
2.6213,2.16001583
2.6239,2.15999994
2.6266,2.15998405
2.6293,2.15996816
2.6319,2.15995228
2.6346,2.15993639
2.6373,2.15992051
2.64,2.15990462
2.6427,2.15988874
2.6454,2.15987286
2.6481,2.15985698
2.6508,2.1598411
2.6535,2.15982522
2.6562,2.15980934
2.6589,2.15979346
2.6617,2.15977759
2.6644,2.15976171
2.6671,2.15974583
2.6699,2.15972996
2.6726,2.15971408
2.6754,2.15969821
2.6782,2.15968233
2.6809,2.15966646
2.6837,2.15965058
2.6865,2.15963471
2.6893,2.15961884
2.6921,2.15960296
2.6949,2.15958709
2.6977,2.15957122
2.7005,2.15955534
2.7033,2.15953946
2.7061,2.15952359
2.7089,2.15950772
2.7118,2.15949184
2.7146,2.15947597
2.7175,2.15946009
2.7203,2.15944421
2.7232,2.15942834
2.726,2.15941246
2.7289,2.15939658
2.7318,2.1593807
2.7347,2.15936482
2.7375,2.15934894
2.7404,2.15933306
2.7433,2.15931718
2.7462,2.15930129
2.7492,2.15928541
2.7521,2.15926952
2.755,2.15925363
2.7579,2.15923774
2.7609,2.15922185
2.7638,2.15920596
2.7668,2.15919007
2.7697,2.15917417
2.7727,2.15915827
2.7756,2.15914238
2.7786,2.15912647
2.7816,2.15911057
2.7846,2.15909467
2.7876,2.15907876
2.7906,2.15906286
2.7936,2.15904695
2.7966,2.15903103
2.7996,2.15901512
2.8027,2.15899921
2.8057,2.15898328
2.8087,2.15896737
2.8118,2.15895144
2.8148,2.15893551
2.8179,2.15891959
2.821,2.15890365
2.824,2.15888772
2.8271,2.15887178
2.8302,2.15885584
2.8333,2.1588399
2.8364,2.15882395
2.8395,2.158808
2.8426,2.15879205
2.8457,2.1587761
2.8489,2.15876013
2.852,2.15874417
2.8551,2.15872821
2.8583,2.15871224
2.8614,2.15869626
2.8646,2.15868029
2.8678,2.15866431
2.8709,2.15864832
2.8741,2.15863234
2.8773,2.15861634
2.8805,2.15860035
2.8837,2.15858434
2.8869,2.15856834
2.8901,2.15855233
2.8934,2.15853631
2.8966,2.1585203
2.8998,2.15850428
2.9031,2.15848825
2.9063,2.15847221
2.9096,2.15845618
